dev, pci_dev_get, sbridge_get_onedevice , ptr-sen-branch ( senapi: norm_branch)
gfp, kasprintf, sbridge_register_mci , val-sen-api (kmalloc)
dev, pci_dev_put, sbridge_get_onedevice , ptr-sen-branch ( senapi: norm_branch)
where, pci_read_config_dword, get_dimm_config , val-sen-branch (norm_branch)
val, pci_read_config_dword, get_dimm_config , ptr-write
vendor, pci_get_device, sbridge_get_onedevice , val-sen-api (pci_get_subsys)
device, pci_get_device, sbridge_get_onedevice , val-sen-api (pci_get_subsys)
from, pci_get_device, sbridge_get_onedevice , ptr-sen-api (pci_get_subsys)
from, pci_get_device, sbridge_get_onedevice , ptr-sen-branch ( senapi: norm_branch)
dev, pci_enable_device, sbridge_get_onedevice , ptr-sen-api (pci_set_power_state)
top_layer, edac_mc_handle_error, sbridge_mce_output_error , val-sen-branch (norm_branch)
mid_layer, edac_mc_handle_error, sbridge_mce_output_error , val-sen-branch (norm_branch)
low_layer, edac_mc_handle_error, sbridge_mce_output_error , val-sen-branch (buffer_acc https://github.com/ksplit/lvd-linux/tree/ksplit-latest/drivers/edac/edac_mc.c#L1025)
msg, edac_mc_handle_error, sbridge_mce_output_error , ptr-sen-branch ( senapi: buffer_acc https://github.com/ksplit/lvd-linux/tree/ksplit-latest/drivers/edac/edac_mc.c#L943 |   %90 = getelementptr [1 x i8], [1 x i8]* @.str.44.150, i64 0, i64 0)
msg, edac_mc_handle_error, sbridge_mce_output_error , ptr-sen-api (memset)
msg, edac_mc_handle_error, sbridge_mce_output_error , ptr-write
other_detail, edac_mc_handle_error, sbridge_mce_output_error , ptr-sen-api (memset)
other_detail, edac_mc_handle_error, sbridge_mce_output_error , ptr-sen-branch ( senapi: buffer_acc https://github.com/ksplit/lvd-linux/tree/ksplit-latest/drivers/edac/edac_mc.c#L943 |   %99 = getelementptr [1 x i8], [1 x i8]* @.str.44.150, i64 0, i64 0)
other_detail, edac_mc_handle_error, sbridge_mce_output_error , ptr-write
dev, edac_mc_del_mc, sbridge_unregister_mci , ptr-sen-branch ( senapi: norm_branch)
mci->pdev, edac_mc_add_mc_with_groups, sbridge_register_mci , ptr-sen-branch ( senapi: norm_branch)
mci->mod_name, edac_mc_add_mc_with_groups, sbridge_register_mci , ptr-sen-branch ( senapi: norm_branch)
mci->pdev, edac_mc_add_mc_with_groups, sbridge_register_mci , ptr-sen-branch ( senapi: norm_branch)
mci->mod_name, edac_mc_add_mc_with_groups, sbridge_register_mci , ptr-sen-branch ( senapi: norm_branch)
n_layers, edac_mc_alloc, sbridge_register_mci , val-sen-api (kmalloc)
n_layers, edac_mc_alloc, sbridge_register_mci , val-sen-branch (norm_branch)
n_layers, edac_mc_alloc, sbridge_register_mci , num-arith ( memcpy )
layers, edac_mc_alloc, sbridge_register_mci , ptr-sen-api (memcpy)
sz_pvt, edac_mc_alloc, sbridge_register_mci , val-sen-branch (norm_branch)
sz_pvt, edac_mc_alloc, sbridge_register_mci , val-sen-api (kmalloc)
